file,type,inSitemap,severity,code,detail
guides/robots-txt-disallow-empty-vs-slash.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/roi-vs-cagr-different-numbers-same-investment.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/rsa-public-exponent-65537-pkcs-formats-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/rsa-public-exponent-65537-pkcs-formats.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/salary-per-hour-4-day-week-25-percent-jump.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/salary-raise-nominal-vs-real-inflation-adjusted.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/salary-reverse-nonlinear-gross-from-net.html,guide,True,P2,short-desc,description 25자
guides/salary-reverse-nonlinear-gross-from-net.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/salary-take-home-2026.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/schema-markup-json-ld-rich-snippet-ctr-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/schema-markup-json-ld-rich-snippet-ctr.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/schema-required-vs-recommended-fields-en.html,guide-en,True,P2,short-desc,description 30자
guides/schema-required-vs-recommended-fields-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/schema-required-vs-recommended-fields.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/sentence-boundary-detection-limits.html,guide,True,P2,short-desc,description 15자
guides/severance-tax-service-year-deduction-yeonbun-yeonseung.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/sip-step-up-compounding-effect.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/sitemap-changefreq-priority-google-ignores-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/sitemap-changefreq-priority-google-ignores.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/sitemap-generator-50000-url-limit-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/sitemap-generator-50000-url-limit.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/sitemap-priority-changefreq-ignored-en.html,guide-en,True,P2,short-desc,description 16자
guides/slug-generator-nfd-unicode-normalization-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/slug-generator-nfd-unicode-normalization.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/sms-byte-limit-euckr-encoding-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/sms-byte-limit-euckr-encoding.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/sql-insert-to-json-escaped-quote-bug-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/sql-insert-to-json-escaped-quote-bug.html,guide,True,P2,short-desc,description 27자
guides/sql-insert-to-json-escaped-quote-bug.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/sql-minifier-comment-string-collision-bug-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/sql-minifier-comment-string-collision-bug.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/sql-validator-not-a-real-parser-en.html,guide-en,True,P2,fixed-wide,min-width:440px 고정폭(모바일 넘침 위험)
guides/sql-validator-not-a-real-parser.html,guide,True,P2,fixed-wide,min-width:440px 고정폭(모바일 넘침 위험)
guides/ssh-key-ed25519-vs-rsa-shell-escape-en.html,guide-en,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
guides/ssh-key-ed25519-vs-rsa-shell-escape.html,guide,True,P2,table-no-scroll,<table>에 가로스크롤 래퍼 없음
